 Date, Team, Acquired, Relinquished, Notes
2007-02-14, Warriors, , Mickael Pietrus, sprained right ankle (DNP)
2007-02-19, Suns, , • Boris Diaw, back spasms (DNP)
2007-02-20, Bobcats, , Jeff McInnis, sprained right ankle (DNP)
2007-02-20, Bucks, , • Charlie Villanueva, sprained right ankle (DNP)
2007-02-20, Clippers, , • Chris Kaman, flu-like symptoms (DNP)
2007-02-20, Mavericks, , • Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga, surgery on right knee to repair torn ACL
2007-02-21, Bucks, , • Charlie Villanueva, sprained right ankle (DNP)
2007-02-21, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-02-21, Heat, , • Dwyane Wade, dislocated left shoulder (out indefinitely)
2007-02-21, Lakers, , • Vladimir Radmanovic, separated right shoulder (out ~8 weeks)
2007-02-21, Nuggets, , • J.R. Smith, arthroscopic surgery on left knee to repair torn cartilage (out 3-4 weeks)
2007-02-21, Warriors, , • Matt Barnes, strained left hamstring (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-02-22, Timberwolves, , • Mark Madsen, left ankle injury (DTD)
2007-02-23, Blazers, , Joel Przybilla, sore left knee (DNP)
2007-02-23, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-02-23, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-02-23, Lakers, , • Luke Walton, sprained right ankle (DNP)
2007-02-23, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-02-23, Sonics, , • Mickael Gelabale, sprained left ankle (DNP)
2007-02-24, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-02-24, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-02-24, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-02-25, Lakers, , • Luke Walton, sprained right ankle (DNP)
2007-02-26, Blazers, , Joel Przybilla, sore left knee (DNP)
2007-02-26, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-02-26, Celtics, • Michael Olowokandi, , returned to lineup
2007-02-26, Jazz, , • Deron Williams, wrist injury (DTD)
2007-02-26, Lakers, , • Luke Walton, sprained right ankle (DNP)
2007-02-27, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-02-27, Clippers, , • Shaun Livingston, torn ligaments in left knee (including ACL) and dislocated left kneecap (out for season)
2007-02-27, Knicks, , • Jamal Crawford, stress fracture in right ankle (out indefinitely)
2007-02-27, Nets, , • Antoine Wright, bruised right elbow (DNP)
2007-02-27, Warriors, , • Stephen Jackson, fractured big left toe (DNP)
2007-02-28, 76ers, , • Rodney Carney, strained right shoulder (DNP)
2007-02-28, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-02-28, Grizzlies, , • Brian Cardinal, arthroscopic surgery on left knee (out for season)
2007-02-28, Knicks, , • Jamal Crawford, stress fracture in right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-02-28, Knicks, , • Nate Robinson, stomach virus (DNP)
2007-02-28, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-02-28, Suns, , • Shawn Marion, bruised right hand (DNP)
2007-02-28, Warriors, , • Josh Powell, head injury (neck per CBC) (DNP)
2007-02-28, Warriors, , • Matt Barnes, knee injury (DTD)
2007-02-28, Warriors, , • Stephen Jackson, fractured big left toe (DNP)
2007-03-01, 76ers, , • Rodney Carney, torn rotator cuff in right shoulder (out indefinitely)
2007-03-01, Blazers, , Joel Przybilla, arthroscopic surgery on left knee (out rest of regular season)
2007-03-01, Blazers, , Joel Przybilla, sore left knee (DNP)
2007-03-01, Cavaliers, , • Damon Jones, back spasms (DTD)
2007-03-01, Cavaliers, , • Larry Hughes, flu (DNP)
2007-03-01, Sonics, , • Ray Allen, left ankle inflammation (DNP)
2007-03-02, 76ers, , • Rodney Carney, torn rotator cuff in right shoulder (DNP)
2007-03-02, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-02, Grizzlies, , • Chucky Atkins, sprained right ankle (DNP)
2007-03-02, Knicks, , • Nate Robinson, stomach virus (DNP)
2007-03-02, Lakers, , • Maurice Evans, sore right knee (DNP)
2007-03-02, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-03-02, Suns, , • Shawn Marion, bruised right hand (DNP)
2007-03-02, Warriors, , • Matt Barnes, strained left hamstring (DNP)
2007-03-02, Warriors, , • Stephen Jackson, turf toe on left foot (DNP)
2007-03-03, Cavaliers, • Damon Jones, , returned to lineup
2007-03-03, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-03-03, Grizzlies, , • Stromile Swift, flu (DTD)
2007-03-03, Hawks, , • Lorenzen Wright, facial injury (DTD)
 Date, Team, Acquired, Relinquished, Notes
2007-03-03, Knicks, , • Nate Robinson, stomach virus (DNP)
2007-03-04, 76ers, , • Rodney Carney, torn rotator cuff in right shoulder (DNP)
2007-03-04, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-04, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-03-04, Lakers, , • Lamar Odom, torn labrum in left shoulder (DNP)
2007-03-04, Warriors, , • Stephen Jackson, turf toe on left foot (DNP)
2007-03-05, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-06, Blazers, , Joel Przybilla, arthroscopic surgery on left knee (out for season)
2007-03-06, Knicks, , • Nate Robinson, stomach virus (DNP)
2007-03-06, Lakers, , • Lamar Odom, torn labrum in left shoulder (DNP)
2007-03-07, 76ers, , • Rodney Carney, torn rotator cuff in right shoulder (DNP)
2007-03-07, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-07, Celtics, , • Wally Szczerbiak, sprained left ankle (DNP)
2007-03-07, Grizzlies, , • Chucky Atkins, sprained right ankle (DNP)
2007-03-07, Lakers, , • Lamar Odom, torn labrum in left shoulder (DNP)
2007-03-07, Lakers, , • Ronny Turiaf, back spasms (DNP)
2007-03-07, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-03-08, Bulls, , • Malik Allen, irregular heartbeat (DTD)
2007-03-08, Celtics, , • Wally Szczerbiak, surgery on left ankle (out for season)
2007-03-09, 76ers, , • Rodney Carney, torn rotator cuff in right shoulder (DNP)
2007-03-09, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-09, Celtics, , • Delonte West, concussion (DNP)
2007-03-09, Celtics, , • Ryan Gomes, left foot injury (DNP)
2007-03-09, Grizzlies, , • Chucky Atkins, sprained right ankle (DNP)
2007-03-09, Knicks, , • Quentin Richardson, sore lower back (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-03-09, Lakers, , • Lamar Odom, torn labrum in left shoulder (DNP)
2007-03-09, Lakers, , • Ronny Turiaf, back spasms (DNP)
2007-03-09, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-03-09, Warriors, , Mickael Pietrus, stomach flu (DNP)
2007-03-11, Celtics, , • Delonte West, concussion (DNP)
2007-03-11, Celtics, , • Ryan Gomes, sprained left foot (DNP)
2007-03-11, Lakers, , • Luke Walton, sprained right ankle (DNP)
2007-03-11, Nuggets, , • J.R. Smith, recovering from arthroscopic surgery on left knee (DNP)
2007-03-11, Warriors, , • Baron Davis, sore left knee (DNP)
2007-03-12, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-13, Blazers, , • Fred Jones, swollen right hand (DNP)
2007-03-13, Clippers, , • Shaun Livingston, surgery on left knee (out indefinitely)
2007-03-13, Nets, , • Clifford Robinson (R.), sprained left knee (DTD)
2007-03-14, Bobcats, , • Ryan Hollins, flu (DTD)
2007-03-14, Celtics, , • Ryan Gomes, sprained left foot (DNP)
2007-03-14, Pacers, , • Jamaal Tinsley, sore left foot (DTD)
2007-03-15, Bucks, , • Charlie Villanueva, right shoudler tendinitis (DNP)
2007-03-15, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-16, Bobcats, , Primoz Brezec, sprained left ankle (DNP)
2007-03-16, Bucks, , • Charlie Villanueva, right shoudler tendinitis (DNP)
2007-03-16, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-16, Celtics, , • Ryan Gomes, sprained left foot (DNP)
2007-03-16, Heat, , • Gary Payton, strained right groin (DNP)
2007-03-16, Jazz, , Matt Harpring, right knee inflammation
2007-03-16, Knicks, , • Quentin Richardson, sore lower back (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-03-16, Knicks, , • Quentin Richardson, sore lower back (DNP)
2007-03-16, Lakers, , • Luke Walton, sprained right ankle (DNP)
2007-03-16, Mavericks, , • Greg Buckner, sprained left knee (DNP)
2007-03-16, Wizards, , • Caron Butler, bruised left knee (out 7-10 days)
2007-03-18, Sonics, , • Ray Allen, bone spurs in ankles (out indefinitely)
2007-03-19, Bobcats, , • Derek Anderson, swollen right knee (DNP)
2007-03-19, Celtics, , • Ryan Gomes, sprained left foot (DNP)
2007-03-19, Knicks, , • Quentin Richardson, sore lower back (DNP)
2007-03-19, Mavericks, , • Greg Buckner, sprained left knee (DNP)
2007-03-19, Raptors, , • Andrea Bargnani, appendectomy (out for season)
2007-03-21, Bucks, , • Andrew Bogut, sprained left foot (out for season)
2007-03-21, Bucks, , • Andrew Bogut, sprained left foot (DNP)
2007-03-21, Bucks, , • Charlie Villanueva, right shoudler tendinitis (DNP)
2007-03-21, Bucks, , Earl Boykins, sprained right thumb (DNP)
2007-03-21, Kings, , • Brad Miller, plantar fasciitis in left foot (DNP)
2007-03-21, Mavericks, , • Greg Buckner, sprained left knee (DNP)
2007-03-21, Raptors, , • Jose Calderon, sprained right ankle (DNP)
2007-03-22, Knicks, , • Kelvin Cato, sinus infection (DTD)
2007-03-22, Lakers, , • Maurice Evans, right knee injury (DTD)
2007-03-23, 76ers, , • Andre Iguodala, strained lower back (DNP)
2007-03-23, Celtics, , Brian Scalabrine, strained left hamstring (DNP)
2007-03-23, Knicks, , • David Lee, sore right leg (DNP)
2007-03-23, Nuggets, , • Marcus Camby, back spasms (DNP)
2007-03-24, Bobcats, , • Gerald Wallace, bruised left hip (DNP)
2007-03-24, Bobcats, , • Raymond Felton, bruised left quadricep (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-03-25, Bucks, , • Dan Gadzuric, dislocated left shoulder (DNP)
2007-03-25, Kings, , • Brad Miller, plantar fasciitis in left foot (DNP)
2007-03-25, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
2007-03-26, Bucks, , • Maurice Williams / Mo Williams, upper respiratory infection (DNP)
2007-03-26, Celtics, , • Michael Olowokandi, broken bone in left foot (out for season)
2007-03-26, Celtics, , • Michael Olowokandi, broken bone in left foot (DNP)
2007-03-26, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-03-26, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
2007-03-26, Pistons, , • Chris Webber, flu (DNP)
2007-03-27, Bucks, , • Charlie Villanueva, arthroscopic surgery on right shoulder (out 4-6 months)
2007-03-27, Lakers, , • Kwame Brown, sore left ankle (DNP)
2007-03-27, Raptors, , • Jorge Garbajosa, surgery on right leg & ankle to repair fractured tibula & displaced ankle joint with torn ligament (out for season)
2007-03-28, 76ers, , • Willie Green, bruised right knee (DNP)
2007-03-28, Bucks, , • Dan Gadzuric, dislocated left shoulder (DNP)
2007-03-28, Celtics, , • Michael Olowokandi, broken bone in left foot (DNP)
2007-03-28, Celtics, , Brian Scalabrine, strained left hamstring (DNP)
2007-03-28, Jazz, , Matt Harpring, stomach virus (DNP)
2007-03-28, Mavericks, , • Devean George, sore knee (DNP)
2007-03-28, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
2007-03-29, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-03-29, Nets, , • Eddie House, concussion & partially torn left hip muscle (out indefinitely)
2007-03-29, Pistons, , • Chris Webber, flu (DNP)
2007-03-29, Wizards, , Andray Blatche, right knee injury (DTD)
2007-03-30, 76ers, , • Willie Green, strained right knee (DNP)
2007-03-30, Blazers, , • Zach Randolph, surgery on right hand to remove bone fragments and repair ligaments
 Date, Team, Acquired, Relinquished, Notes
2007-03-30, Bucks, , • Dan Gadzuric, dislocated left shoulder (DNP)
2007-03-30, Celtics, , • Michael Olowokandi, broken bone in left foot (DNP)
2007-03-30, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-03-30, Celtics, , Brian Scalabrine, strained left hamstring (DNP)
2007-03-30, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-03-30, Heat, , • Gary Payton, strained right groin (DNP)
2007-03-30, Knicks, , • Quentin Richardson, surgery on back (out for season)
2007-03-30, Knicks, , Steve Francis, sprained right ankle (DNP)
2007-03-30, Lakers, , • Brian Cook, sore left ankle (DNP)
2007-03-31, Blazers, , • Zach Randolph, recovering from surgery on right hand to remove bone fragments and repair ligaments (DNP)
2007-03-31, Knicks, , Steve Francis, sprained right ankle (DNP)
2007-04-01, Bucks, , • Michael Redd, sore left knee (DNP)
2007-04-01, Celtics, , • Michael Olowokandi, broken bone in left foot (DNP)
2007-04-01, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-04-01, Celtics, , Brian Scalabrine, strained left hamstring (DNP)
2007-04-01, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-04-01, Hawks, , • Craig Claxton / Speedy Claxton, left knee injury (out for season)
2007-04-01, Kings, , • Vitaly Potapenko, strained lower back (DNP)
2007-04-01, Mavericks, , • Erick Dampier, strained right shoulder (DNP)
2007-04-02, Wizards, , • Caron Butler, broken bone below right index finger (out 6-8 weeks)
2007-04-03, Cavaliers, , • Ira Newble, sinus infection (DTD)
2007-04-03, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-04-03, Hawks, , • Josh Childress, stress fracture in right foot (out 4-6 weeks)
2007-04-03, Mavericks, , • Dirk Nowitzki, food poisoning (DNP)
2007-04-03, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-04-04, Blazers, , • LaMarcus Aldridge, irregular heartbeat / dizziness (out indefinitely)
2007-04-04, Blazers, , • LaMarcus Aldridge, irregular heartbeat / dizziness (DNP)
2007-04-04, Bucks, , • Brian Skinner, ear infection (DNP)
2007-04-04, Bucks, , • Maurice Williams / Mo Williams, sore left knee (DNP)
2007-04-04, Bucks, , • Michael Redd, sore left knee (DNP)
2007-04-04, Bulls, , • Ben Wallace, sinus inflammation (DNP)
2007-04-04, Celtics, , • Al Jefferson, bruised left knee (DNP)
2007-04-04, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-04-04, Celtics, , Brian Scalabrine, strained left hamstring (DNP)
2007-04-04, Kings, , • Corliss Williamson, sore right heel (DNP)
2007-04-04, Knicks, , • Kelvin Cato, tonsilitis (DNP)
2007-04-04, Knicks, , Steve Francis, sprained right ankle (DNP)
2007-04-04, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
2007-04-04, Sonics, , • Andre Brown, surgery on nose (DNP)
2007-04-04, Sonics, , • Andre Brown, nose injury (out indefinitely)
2007-04-04, Wizards, , • Gilbert Arenas, torn lateral meniscus in left knee (out 2-3 months)
2007-04-05, Hornets, , • Desmond Mason, broken nose and cheekbone (out indefinitely)
2007-04-05, Wizards, , • Gilbert Arenas, surgery on left knee to repair torn lateral meniscus
2007-04-06, Blazers, , • LaMarcus Aldridge, dizziness (DNP)
2007-04-06, Bucks, , • Brian Skinner, ear infection (DNP)
2007-04-06, Bucks, , • Maurice Williams / Mo Williams, sore left knee (DNP)
2007-04-06, Bucks, , • Michael Redd, sore left knee (DNP)
2007-04-06, Bulls, , • Ben Wallace, sinus inflammation (DNP)
2007-04-06, Bulls, , • Tyrus Thomas, flu (DNP)
2007-04-06, Celtics, , • Al Jefferson, right knee injury (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-04-06, Celtics, , • Delonte West, sprained left ankle (DTD)
2007-04-06, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-04-06, Grizzlies, , • Mike Miller, patella tendinitis (DNP)
2007-04-06, Hawks, , • Zaur Pachulia / Zaza Pachulia, sprained left ankle (DNP)
2007-04-06, Hornets, , • Chris Paul, left foot injury (DNP)
2007-04-06, Hornets, , • Desmond Mason, surgery on broken nose (date approximate)
2007-04-06, Nets, , • Bernard Robinson, strep throat (DNP)
2007-04-06, Nuggets, , Eduardo Najera, bruised left tibia (DNP)
2007-04-06, Wizards, , • Calvin Booth, sore left knee (DNP)
2007-04-07, Blazers, , • Brandon Roy, sore right knee (DNP)
2007-04-07, Blazers, , • LaMarcus Aldridge, dizziness (DNP)
2007-04-07, Bucks, , • Brian Skinner, ear infection (DNP)
2007-04-07, Celtics, , • Al Jefferson, bruised left knee (DNP)
2007-04-07, Celtics, , • Delonte West, sprained left ankle (DNP)
2007-04-07, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-04-07, Celtics, , Brian Scalabrine, sore left hamstring (DNP)
2007-04-07, Grizzlies, , • Mike Miller, patella tendinitis in both knees (DNP)
2007-04-07, Grizzlies, , • Rudy Gay, sprained right ankle (DNP)
2007-04-07, Knicks, , • Stephon Marbury, sprained right big toe (DNP)
2007-04-07, Mavericks, , • Jerry Stackhouse, rest (DNP)
2007-04-07, Nets, , • Bernard Robinson, strep throat (DNP)
2007-04-07, Sonics, , • Luke Ridnour, sprained left ankle (DNP)
2007-04-07, Sonics, , • Ray Allen, surgery on both ankles to remove bone spurs (out 2-3 months)
2007-04-08, Bobcats, , • Adam Morrison, sprained left knee (DNP)
2007-04-08, Bobcats, , • Matt Carroll, back injury (DTD)
 Date, Team, Acquired, Relinquished, Notes
2007-04-08, Hawks, , • Zaur Pachulia / Zaza Pachulia, sprained left ankle (DNP)
2007-04-08, Hawks, , Salim Stoudamire, wrist injury (DTD)
2007-04-09, Blazers, , • LaMarcus Aldridge, dizziness (DNP)
2007-04-09, Bucks, , • Brian Skinner, ear infection (DNP)
2007-04-09, Bucks, , • Michael Redd, sore left knee (DNP)
2007-04-09, Knicks, , • David Lee, sore right leg (DNP)
2007-04-09, Knicks, , Renaldo Balkman, stomach flu (DNP)
2007-04-09, Sonics, , • Luke Ridnour, sprained left ankle (DNP)
2007-04-09, Sonics, , Danny Fortson, dental surgery (out indefinitely)
2007-04-10, 76ers, , • Andre Iguodala, strained lower back (DNP)
2007-04-10, 76ers, , • Rodney Carney, sprained left knee (DNP)
2007-04-10, Bobcats, , Jake Voskuhl, left knee injury (DNP)
2007-04-10, Celtics, , • Al Jefferson, bruised left knee (DNP)
2007-04-10, Celtics, , • Delonte West, sprained left ankle (DNP)
2007-04-10, Celtics, , • Paul Pierce, sore left elbow (DNP)
2007-04-10, Celtics, , Brian Scalabrine, sore left hamstring (DNP)
